date,open,high,low,close,volume,log_return,simple_return
2024-08-19,2877.954,2905.155,2877.771,2893.674,26168773000,0.004934617115496032,0.004946812389952315
2024-08-20,2895.551,2896.519,2855.329,2866.661,26365800200,-0.00937903716338262,-0.009335191179103086
2024-08-21,2858.939,2863.891,2848.151,2856.584,22920002700,-0.0035214324787098406,-0.003515239506868828
2024-08-22,2856.2,2861.607,2845.502,2848.772,24539941500,-0.0027384811331776504,-0.002734734914149217
2024-08-23,2844.77,2860.733,2839.337,2854.368,22669256500,0.0019624283450552227,0.001964355167770604
2024-08-26,2855.474,2860.655,2844.383,2855.52,22735152300,0.00040351054718801294,0.00040359196851991186
2024-08-27,2850.877,2853.78,2843.158,2848.731,23069300600,-0.0023803311619801093,-0.002377500420238654
2024-08-28,2844.327,2852.562,2830.962,2837.429,22873062300,-0.0039752714955554325,-0.003967380563486
2024-08-29,2829.451,2831.431,2815.383,2823.106,27751053400,-0.005060663194566217,-0.005047879612141815
2024-08-30,2819.65,2867.965,2817.014,2842.214,39751697500,0.006745628651759539,0.00676843164939589
2024-09-02,2832.35,2839.278,2810.374,2811.035,34071419300,-0.011030582993322824,-0.0109699691859938
2024-09-03,2809.173,2814.903,2794.911,2802.979,27573613900,-0.0028699627502035696,-0.002865848344115296
2024-09-04,2786.505,2800.607,2781.935,2784.278,25745350000,-0.006694186372998345,-0.006671830220633113
2024-09-05,2785.264,2796.019,2777.471,2788.314,24204094800,0.0014485182858159362,0.00144956789515982
2024-09-06,2791.765,2804.093,2765.639,2765.807,25364537500,-0.008104657136001059,-0.00807190294923743
2024-09-09,2754.724,2756.556,2726.967,2736.488,26146884700,-0.010657108529826154,-0.010600522740740748
2024-09-10,2737.881,2750.118,2718.627,2744.192,26215901500,0.0028113318325839742,0.002815287331791705
2024-09-11,2732.731,2732.731,2710.621,2721.795,24226490000,-0.008195089138500755,-0.0081616009375437
2024-09-12,2722.138,2734.683,2716.555,2717.123,24008431500,-0.0017179891842875605,-0.0017165142856093718
2024-09-13,2718.986,2728.78,2703.369,2704.09,25127003800,-0.004808158288000186,-0.004796617598835207
2024-09-18,2705.345,2724.114,2689.695,2717.281,24781713200,0.004866306338842996,0.0048781660373729
2024-09-19,2723.205,2747.74,2697.776,2736.022,31520838900,0.006873292674319131,0.006896967961723455
