date,open,high,low,close,volume,amount,outstanding_share,turnover,log_return,simple_return
2021-03-05,1753.06,1836.33,1742.54,1805.75,6377920.0,13100315985.0,1256197800.0,0.005077162211237753,0.013245300588225817,0.01333340815605033
2021-03-08,1818.77,1827.57,1718.0,1718.0,6309959.0,12724245990.0,1256197800.0,0.0050230616547807996,-0.04981519438675619,-0.04859476671743046
2021-03-09,1713.62,1753.06,1665.57,1697.83,8226581.0,16100769579.0,1256197800.0,0.0065487943061196255,-0.01180985847065763,-0.011740395809080373
2021-03-10,1732.9,1752.95,1724.14,1726.77,5117174.0,10136910284.0,1256197800.0,0.004073541603081935,0.016901646281048066,0.01704528721956855
2021-03-11,1731.15,1823.18,1719.3,1795.14,5676897.0,11521736384.0,1256197800.0,0.0045191107642442935,0.0388304019553507,0.03959415556211887
2021-03-12,1814.42,1820.55,1754.82,1775.85,4032251.0,8181594631.0,1256197800.0,0.003209885417726412,-0.010803831784186535,-0.010745680002673952
2021-03-15,1796.89,1814.24,1710.24,1731.54,6248487.0,12459955712.0,1256197800.0,0.004974126686099912,-0.02526799559290538,-0.02495143170875913
2021-03-16,1731.09,1770.58,1722.38,1762.27,3464850.0,6918600717.0,1256197800.0,0.0027582041617968127,0.017591564784270375,0.017747207687954125
2021-03-17,1753.06,1796.89,1732.03,1779.67,3137491.0,6352656523.0,1256197800.0,0.002497609054879733,0.009825203123129178,0.009873628899090381
2021-03-18,1783.74,1828.76,1783.74,1814.16,3386488.0,6997030294.0,1256197800.0,0.0026958238583127594,0.019194596811781928,0.019379997415251093
2021-03-19,1783.74,1790.75,1746.25,1761.83,3578077.0,7211521835.0,1256197800.0,0.0028483388523686316,-0.029269509081806255,-0.02884530581646616
2021-03-22,1753.15,1775.93,1714.1,1744.29,3691407.0,7323391311.0,1256197800.0,0.002938555536397214,-0.010005445521349188,-0.00995555757365918
2021-03-23,1752.08,1760.78,1726.77,1749.56,2744619.0,5459520703.0,1256197800.0,0.0021848621291965325,0.003016731683793239,0.0030212865979855064
2021-03-24,1736.41,1764.46,1736.41,1743.42,2935739.0,5857848160.0,1256197800.0,0.002337003774405591,-0.003515626384353432,-0.00350945380552814
2021-03-25,1726.77,1743.31,1706.43,1727.64,3157523.0,6216733244.0,1256197800.0,0.0025135555881406575,-0.009092386022051535,-0.009051175276181267
2021-03-26,1739.91,1772.35,1716.25,1764.46,5001642.0,9987629444.0,1256197800.0,0.003981572010395178,0.021088379220688402,0.021312310435044335
2021-03-29,1790.93,1837.52,1775.98,1782.95,5699220.0,11740129413.0,1256197800.0,0.00453688105487846,0.010424601298196556,0.010479126758328405
2021-03-30,1788.12,1828.44,1783.81,1802.19,3262697.0,6717493350.0,1256197800.0,0.00259727966407838,0.010733296166672623,0.01079110462996713
2021-03-31,1792.59,1793.4,1753.06,1760.95,3715441.0,7489086233.0,1256197800.0,0.0029576878736772188,-0.023149155877248973,-0.02288326979952171
2021-04-01,1771.47,1794.08,1754.13,1792.07,2658763.0,5379775870.0,1256197800.0,0.0021165162046932417,0.017517940137383725,0.01767227916749481
2021-04-02,1802.15,1897.69,1802.15,1895.06,5202757.0,10981752658.0,1256197800.0,0.0041416702051221554,0.05587912401246076,0.05746985329814125
2021-04-06,1894.18,1895.04,1842.73,1863.53,3274177.0,6967525037.0,1256197800.0,0.0026064183522690456,-0.0167779617557553,-0.016637995630745195
2021-04-07,1844.27,1855.88,1796.89,1806.53,4020097.0,8317799925.0,1256197800.0,0.0032002101898283854,-0.031064660380821785,-0.03058711155709859
2021-04-08,1794.28,1822.31,1791.63,1814.42,2854762.0,5893307514.0,1256197800.0,0.0022725417923833333,0.004357979252530342,0.004367489053600071
2021-04-09,1789.88,1800.39,1757.45,1770.59,2880886.0,5832453812.0,1256197800.0,0.002293337880387945,-0.02445303304237534,-0.0241564797566165
2021-04-12,1762.7,1779.36,1745.79,1760.85,3194307.0,6409917318.0,1256197800.0,0.0025428376008937445,-0.00551617736535448,-0.00550099119502534
2021-04-13,1770.59,1796.71,1760.95,1771.47,2899215.0,5883787293.0,1256197800.0,0.0023079287354268573,0.00601306336847518,0.006031178124201508
2021-04-14,1783.74,1795.14,1767.09,1794.26,2411465.0,4908790023.0,1256197800.0,0.0019196538952703148,0.012782970292876783,0.012865021705137591
2021-04-15,1780.15,1794.17,1744.3,1766.74,3436621.0,6903769490.0,1256197800.0,0.0027357323822729193,-0.01545664020941917,-0.015337799427061816
2021-04-16,1775.04,1812.67,1763.58,1801.25,3029370.0,6183895054.0,1256197800.0,0.0024115390108150167,0.019344827869158365,0.019533151454090625
2021-04-19,1801.27,1839.28,1781.99,1830.2,3175391.0,6610577917.0,1256197800.0,0.0025277794627565817,0.015944382167546678,0.016072172102706395
2021-04-20,1815.38,1866.13,1814.42,1836.16,2829037.0,5949669953.0,1256197800.0,0.0022520633295170555,0.003251183871666896,0.0032564747022183482
2021-04-21,1819.68,1838.79,1810.12,1823.18,2614975.0,5446145952.0,1256197800.0,0.0020816586368802748,-0.0070942052052016535,-0.007069100731962319
